id,stage,group,question,answer,citations
PRE.o,PRETRIAL_RELEASE,Pretrial Release Eligibility,Offenses presumptively denied or ineligible for pretrial release:,Capital offenses,Pennsylvania Consolidated Statutes. 5701. Right to Bail. [42 Pa. Cons. Stat. § 5701 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-57/section-5701/). Archived [here](https://perma.cc/7QP3-GKC7).
PRE.o,PRETRIAL_RELEASE,Pretrial Release Eligibility,Offenses presumptively denied or ineligible for pretrial release:,Offenses punishable by life imprisonment,Pennsylvania Consolidated Statutes. 5701. Right to Bail. [42 Pa. Cons. Stat. § 5701 (2012)](https://law.justia.com/codes/pennsylvania/2012/title-42/chapter-57/section-5701/). Archived [here](https://perma.cc/7QP3-GKC7).
PRE.t,PRETRIAL_RELEASE,Pretrial Release Eligibility,Does state law require the use of a risk assessment tool in deciding pretrial release?,No,Pennsylvania Administrative Code. Rule 523. Release Criteria. [234 Pa. Code § 523](http://www.pacode.com/secure/data/234/chapter5/s523.html). Archived [here](https://perma.cc/6T3Q-77DJ).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Commercial sureties,Pennsylvania Administrative Code. Rule 528. Monetary Condition of Release on Bail. [234 Pa. Code § 528(D)(5)](http://www.pacode.com/secure/data/234/chapter5/s528.html). Archived [here](https://perma.cc/5C9H-YQ4Y).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Bearer or non-registered bonds,Pennsylvania Administrative Code. Rule 528. Monetary Condition of Release on Bail. [234 Pa. Code § 528(D)(2)](http://www.pacode.com/secure/data/234/chapter5/s528.html). Archived [here](https://perma.cc/5C9H-YQ4Y).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Partial cash deposits,Pennsylvania Administrative Code. Rule 528. Monetary Condition of Release on Bail. [234 Pa. Code § 528(C)](http://www.pacode.com/secure/data/234/chapter5/s528.html). Archived [here](https://perma.cc/5C9H-YQ4Y).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Full cash deposits,Pennsylvania Administrative Code. Rule 528. Monetary Condition of Release on Bail. [234 Pa. Code § 528(D)(1)](http://www.pacode.com/secure/data/234/chapter5/s528.html). Archived [here](https://perma.cc/5C9H-YQ4Y).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Property bonds,Pennsylvania Administrative Code. Rule 528. Monetary Condition of Release on Bail. [234 Pa. Code § 528(D)(3)](http://www.pacode.com/secure/data/234/chapter5/s528.html). Archived [here](https://perma.cc/5C9H-YQ4Y).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Nominal bail,Pennsylvania Administrative Code. Rule 524. Types of Release on Bail. [234 Pa. Code § 524(C)(4)](http://www.pacode.com/secure/data/234/chapter5/s524.html). Archived [here](https://perma.cc/EC33-QKY2).
PRE.f,PRETRIAL_RELEASE,Pretrial Release Conditions,Financial conditions of pretrial release authorized by state law:,Unsecured bonds,Pennsylvania Administrative Code. Rule 524. Types of Release on Bail. [234 Pa. Code § 524(C)(3)](http://www.pacode.com/secure/data/234/chapter5/s524.html). Archived [here](https://perma.cc/EC33-QKY2).
